name
Arsenal FC
Tottenham Hotspur FC
Manchester City FC
Leicester City FC
Crystal Palace FC
Everton FC
Burnley FC
Southampton FC
AFC Bournemouth
Manchester United FC
Liverpool FC
Chelsea FC
West Ham United FC
Watford FC
Newcastle United FC
Cardiff City FC
Fulham FC
Brighton & Hove Albion FC
Huddersfield Town FC
Wolverhampton Wanderers FC
